Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,AUS,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,96.91,96.91,96.91,96.91,96.91,96.51,96.51,96.51,96.51,96.51,96.48,96.48,96.48,96.48,96.48,96.46,96.46,96.46,96.51,96.51,,
Australia,AUS,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,,,,100,94.65174479,107.5397251,119.9434265,137.4668482,150.0290243,162.454852,180.8889368,200.2436734,178.1098962,194.8809993,208.3942142,218.9617105,213.0269206,216.3000275,226.3190586,222.2010231,250.5804756,248.506907
Australia,AUS,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,29.6390893423448,30.2139033016662,32.2273161103685,32.6087715209201,33.6371680098033,34.8976003542578,34.1832971683979,31.9921750582726,33.3682450554061,35.2105781640456,35.9505488991738,36.7677083324485,34.4686584797781,36.1451092021202,36.9050252078536,33.477631717594,31.4126303336508,32.500531238075,29.3397783724618,32.1216430723734,34.5538686957074,34.3927285426279
Australia,AUS,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,10.7314775844639,10.4357250387408,10.3624643864898,10.2698524856961,10.2972303701868,9.68426375613983,9.61612265394953,10.9642344576309,10.6086965040116,10.170552294007,10.7136337153921,10.3710793281815,11.0558338904455,10.9622049762648,10.9016287438307,10.5647841707277,11.1850592516106,10.5994666978294,10.5633055548814,12.6055269263036,13.6379812138655,
Australia,AUS,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,8880000000,8307000000,8798000000,9065000000,8184000000,8640000000,10434000000,14702000000,16153000000,17293000000,22052000000,25557000000,22680000000,27851000000,33967000000,35226000000,35197000000,32462000000,28614000000,32923000000,39491000000,
Australia,AUS,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,6261000000,5930000000,6181000000,6388000000,5735000000,5963000000,7337000000,10667000000,11749000000,12537000000,16454000000,19617000000,18738000000,22558000000,27371000000,28078000000,28575000000,26919000000,23734000000,28044000000,34251000000,
Australia,AUS,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,9456000000,8130000000,9258000000,9375000000,9222000000,10044000000,12620000000,15212000000,16750000000,17538000000,21774000000,23986000000,24566000000,28472000000,31582000000,31557000000,30617000000,31452000000,28892000000,34746000000,41754000000,
Australia,AUS,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,2619000000,2377000000,2617000000,2677000000,2449000000,2677000000,3097000000,4035000000,4404000000,4756000000,5598000000,5940000000,3942000000,5293000000,6596000000,7148000000,6622000000,5543000000,4880000000,4879000000,5240000000,
Australia,AUS,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,2279000000,2039000000,2150000000,2219000000,2111000000,2104000000,2361000000,2820000000,2969000000,2870000000,3250000000,3203000000,2343000000,2592000000,2733000000,2580000000,2272000000,2167000000,1980000000,2040000000,2228000000,
Australia,AUS,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,13.9050837159777,13.9046151575913,15.2472278149506,13.8041313058601,13.8926188612151,14.3767259914384,15.9222264911667,15.6933971554237,14.3464235453512,12.9370088531027,13.6747574913613,11.6851254284198,13.7920673793617,11.9362403750103,10.5864593592968,10.9418376907616,10.7040396518218,11.3127836540236,12.6987097544091,14.6595198128511,14.8234467059024,
Australia,AUS,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,11735000000,10169000000,11408000000,11594000000,11333000000,12148000000,14981000000,18032000000,19719000000,20408000000,25024000000,27189000000,26909000000,31064000000,34315000000,34137000000,32889000000,33619000000,30872000000,36786000000,43982000000,
Australia,AUS,"International tourism, number of departures",ST.INT.DPRT,2933000,3161000,3210000,3498000,3443000,3461000,3388000,4369000,4756000,4941000,5462000,5808000,6276000,7103000,7788000,8212000,9052000,9480000,9807000,10380000,10932000,
Australia,AUS,"International tourism, number of arrivals",ST.INT.ARVL,4318000,4167000,4459000,4931000,4856000,4841000,4746000,5215000,5499000,5532000,5644000,5586000,5490000,5790000,5771000,6032000,6482000,6922000,7450000,8269000,8815000,
Australia,AUS,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84636,84503,84.37,84235,84.1,84222,84343,84463,84582,84.7,84822,84943,85063,85182,85.3,85402,85502,85602,85701,85.8,85904,86012
Australia,AUS,Urban population,SP.URB.TOTL,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21496436
Australia,AUS,Urban population growth (annual %),SP.URB.GROW,0.964066497523518,0.884967261973617,0.984991170590809,1.03213873124927,1.18796106712273,1.36552341294138,1.37756081460967,1.30152936202965,1.46058120993102,1.61463706779604,0.76861501629068,2.14657127926835,2.20221763850756,1.69528537779197,1.52795741614347,1.86533013697943,1.83817579922612,1.60845510176755,1.55480059894141,1.67739012761928,1.80566369778429,1.70048876404874
Australia,AUS,Rural population (% of total population),SP.RUR.TOTL.ZS,15364,15497,15.63,15765,15.9,15778,15657,15537,15418,15.3,15178,15057,14937,14818,14.7,14598,14498,14398,14299,14.2,14096,13988
Australia,AUS,Rural population growth (annual %),SP.RUR.TOTL.ZG,1.97501497561067,1.90417751050623,1.99706933052441,2.05226551551643,2.20105486846425,0.450312813213887,0.464153972629373,0.389958100573059,0.550923764293113,0.706962850499227,-0.175916829079821,1.20362325009444,1.26087513592047,0.755635553247212,0.590016537588383,1.04950290202891,1.03377142785345,0.799422656982681,0.74925064728382,0.867186152709259,0.949422218240633,0.805741332780281
Australia,AUS,Rural population,SP.RUR.TOTL,2844952,2899644,2958134,3019470,3086667,3100598,3115023,3127194,3144470,3166779,3161213,3199492,3240089,3264665,3283984,3318631,3353116,3380029,3405449,3435109,3467878,3495933
Australia,AUS,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,96.6,,,,,99.4,,,,,99.1,,,100,,,,,,,,
Australia,AUS,Completeness of birth registration (%),SP.REG.BRTH.ZS,,,,,,,,,,,,,,,,100,100,,,,,
Australia,AUS,"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.7904058827864,49.8264246347735,49.8596059321743,49.8832473629953,49.894189409605,49.8951053240272,49.8920641863808,49.8935595156737,49.9048370340713,49.9283407141082,49.9598997702227,49.9907112657791,50.0094111255964,50.0091560760935,49.9877229578736,49.9496833537585,49.9035515593437,49.8608094293602,49.8291256587956,49.8105281726567,49.802040861402,49.8003767588704
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,9219689,9323022,9436429,9554138,9685959,9805087,9926226,10042276,10177992,10334118,10405448,10622626,10847891,11017892,11167269,11355294,11541758,11705167,11867302,12049619,12252228,12446294
Australia,AUS,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2095941172136,50.1735753652265,50.1403940678257,50.1167526370047,50.105810590395,50.1048946759728,50.1079358136192,50.1064404843263,50.0951629659287,50.0716592858918,50.0401002297773,50.0092887342209,49.9905888744036,49.9908439239065,50.0122770421264,50.0503166462415,50.0964484406563,50.1391905706398,50.1708743412044,50.1894718273433,50.197959138598,50.1996232411296
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,9297311,9387978,9489571,9598862,9727041,9846313,9969174,10085124,10216808,10363782,10422152,10626574,10843809,11013858,11172755,11378171,11586371,11770519,11948693,12141288,12349632,12546075
Australia,AUS,"Population, total",SP.POP.TOTL,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369
Australia,AUS,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,792551,,816.27678,,957.67995,,882.27499,,1015.45155,,1135.91697,,,,,,,,,,
Australia,AUS,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,3368.03367,,3461.76252,,3757.24171,,4070.06988,,4238.48887,,4341.04863,,4539.4941,,,,,,,,
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.11872568961022,1.04223571564164,1.14250518739456,1.19227232344832,1.34835834227145,1.22056378534358,1.23399666342628,1.15935216218033,1.31978955436191,1.47522794532757,0.624678435014185,2.00402174031569,2.0610451296841,1.55548958906995,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.68452310845434,1.57484884368487
Australia,AUS,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.0466254102745,31.7655939060995,31.4972187794547,31.2639704914455,30.8642443757324,30.4796475135938,30.1101134861402,29.7551459730569,29.4362469070911,29.0299381768529,28.6917207255735,28.4522112077989,28.2878660910002,28.1580490459526,28.270872309288,28.3017040577278,28.3128190107692,28.3738989598172,28.5057288288844,28.7563228365747,29.093184266725,29.4547373974061
Australia,AUS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,18.1075914118632,18.2125357862277,18.3195711025371,18.4502959266276,18.5502659413576,18.6670890545181,18.8031075122163,18.9538224473611,19.1209856284491,19.1553170541162,19.1990765665556,19.2937643358103,19.4847941321755,19.7904053210475,20.2428815519657,20.7654892983375,21.3277589811506,21.8858011005025,22.4193273846272,22.9736095153618,23.5064863290032,24.0303551102037
Australia,AUS,Age dependency ratio (% of working-age population),SP.POP.DPND,50.1542168221377,49.9781296923272,49.8167898819918,49.7142664180731,49.41451031709,49.1467365681119,48.9132209983565,48.708968420418,48.5572325355403,48.1852552309691,47.8907972921291,47.7459755436092,47.7726602231758,47.9484543670001,48.5137538612537,49.0671933560653,49.6405779919198,50.2597000603197,50.9250562135116,51.7299323519365,52.5996705957282,53.4850925076098
Australia,AUS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1054,,,,,1055,,,,,1056,1056,1056,1057,1057,1057,1057,1056,1056,1055,1055,
