Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,CHL,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,66.9,,,,,,,,,60.33,,,,,,
Chile,CHL,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,57.8,,,,,,,,,57.88,,,,,,
Chile,CHL,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,81.5,,,,,,,,,65.59,,,,,,
Chile,CHL,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,,,,,,,6.85,,,,,,,,,2.89,,,,,,
Chile,CHL,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,8.2,,,,,,,,,2.53,,,,,,
Chile,CHL,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,4.5,,,,,,,,,3.67,,,,,,
Chile,CHL,Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,,,,,,,,,,,,,,,,,,,,,,27.6800003051758
Chile,CHL,"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,25.9500007629395
Chile,CHL,"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,29.9400005340576
Chile,CHL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,27.2929992675781,25.5270004272461,23.4220008850098,23.3899993896484,23.9220008850098,23.8600006103516,23.3980007171631,23.6000003814697,22.9500007629395,23.2880001068115,23.3819999694824,23.5380001068115,23.1700000762939,22.9570007324219,23375,23.8299999237061,23.8780002593994,23.4869995117188,23.2840003967285,23.0109996795654,22.7409992218018,22.746000289917
Chile,CHL,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,33.6660003662109,31.3859996795654,28.8810005187988,29.0520000457764,29.4820003509521,29.8470001220703,29.4680004119873,29.7290000915527,29.2350006103516,29.9750003814697,30.5510005950928,30.7819995880127,30.7999992370605,31.0240001678467,31.8309993743896,32.4780006408691,32.8219985961914,32.2929992675781,31.57200050354,31.2800006866455,31.1340007781982,31.1959991455078
Chile,CHL,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,14.414999961853,13.8509998321533,12.6149997711182,12.3020000457764,12.9530000686646,12.0679998397827,11.8129997253418,12.2620000839233,11.5590000152588,11.3470001220703,10.9479999542236,11.423999786377,10.8009996414185,10.2309999465942,10.4460000991821,10.7360000610352,10.6070003509521,10.7080001831055,11.1809997558594,11.0930004119873,10.793999671936,10.7080001831055
Chile,CHL,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,35617.23828125,36500.09375,37317.94921875,38735.546875,39790.62109375,40473.70703125,40747.38671875,42510.75390625,43291.90234375,44507.4453125,45108.87890625,45250.5390625,44956.66015625,45067.94140625,45714,47207.4765625,48171.33203125,48475.3359375,48861.21484375,49118.7578125,49238.890625,50668.8359375
Chile,CHL,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,2.37199997901917,2.37599992752075,2.33200001716614,2.33100008964539,2.00500011444092,2.1010000705719,2.01699995994568,2.19700002670288,2.02999997138977,1.90499997138977,1.62800002098083,1.63999998569489,2.41300010681152,3.26600003242493,3.58899998664856,3.48399996757507,3.54699993133545,3.34800004959106,3.21600008010864,3.30900001525879,3.19199991226196,3.05299997329712
Chile,CHL,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,1.49899995326996,1.63699996471405,1.66299998760223,1.58399999141693,1.26699995994568,1.40799999237061,1.34800004959106,1.54900002479553,1375,1.30900001525879,0.944000005722046,1.04100000858307,1.6690000295639,2.45000004768372,2.63599991798401,2.46900010108948,2.69199991226196,2.62700009346008,2.44600009918213,2.58699989318848,2.4210000038147,2.31500005722046
Chile,CHL,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,4.13500022888184,3.84999990463257,3.65799999237061,3.79299998283386,3.46300005912781,3.46700000762939,3.29500007629395,3.39499998092651,3.21799993515015,2.96900010108948,2.81500005722046,2.64199995994568,3.61800003051758,4.55299997329712,5.04500007629395,5.02099990844727,4.81599998474121,4.39499998092651,4.34000015258789,4.34899997711182,4.28800010681152,4.10400009155273
Chile,CHL,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
