Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,,,
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.1,2.1,2,2.1,2,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6,0.6,
"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,
"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,,,,,,,,,,,,,,,,,,,,,,
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,
"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,18660000,4031000,15920000,4490000,5731000,5924000,3612000,3602000,7434000,4473000,3762000
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,
Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,36,2,,,,,,5,,,
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,21.0037401061146,20.2074948286644,21.3583407820383,20.6966916228142,19.8403140193586,20.0239692130494,30.3664776000704,32.6716054591952,37.571463806734,36.3120821509328,29.8116245197239,28.2304458952865,32.6237199667229,39.2991737452282,24.1964028661089,24.9409782849041,25.1066475449085,20.1955134969824,20.786625958366,21.444630433564,18.2429875536931,17.4218487459128
Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,5.14047142732887,3.68808428074339,3.6662778190192,4.68096784977887,5.16860698514653,5.6188993128849,13.7935061263043,15.3177810636836,19.7841704745386,22.4780924683364,25.0802793366925,26.5539929522293,19.3801282044327,29.3457203835066,17.7588229391381,19.3992854021736,18.2942917442849,17.5356039239762,17.8400890212963,16.3264577491775,17.6431348805748,18.2493780017488
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,30.1704125158411,29.3894462337853,31.9516630118704,32.1490025212997,30.4990504270046,30.8595246980405,31.5846746715246,29.6996198797484,30.4269567738061,30.2499368021813,30.8873964823024,
High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,342609990249,390993679705,359273932009,474521815988,540194662418,593894382352,655996259990,653870449086,652237382663,594551851891,654187610235,
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,57485000000,62363000000,66007000000,78423162000,89676000000,101802993118444,57319786078.7109,78780946446.4378,77974071360.9067,93492297849761,124894233708619,144677133869923,121613966894.24,116577514573224,200294234924.82,200585556141878,205778170532677,218086460963647,216334862452389,207192115754645,211364158904.64,231809504743291
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,73.5061320344438,75.4453762647724,74.4981592861363,74.3856681014724,74.6275480619118,74.101781792544,54.9837387135545,51.4080216095645,41.7534940119005,40.460695833009,44.1999819234496,44.0422954220791,46.3849495795962,28.7319334430322,56.1140738340655,53.0597461580383,53.1092600563394,58.0939044758718,57.9939399018833,58.7355481790103,60.5690212855289,60.7646288615898
Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,73.35064185,73.71981878,78.22177101,100,106.7796134,130.6549279,175.8518156,238.0894291,305.75595,388.8307926,489.7437029,574.1074546,482.1819962,633.1199865,761.7809577,822.1064754,886.4279322,939.9136447,912.2955984,841.7362552,908.2338495,997.9996228
Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,4.91959950361628,4.1252034024675,4.21582673287643,4.88368094745287,5.06315740140151,5.29863300496391,5.22488278221209,5.27252108070958,5.28112049308728,5.15512716390186,5.49232618674199,5.96260107637504,6.64428975500187,6.96484215516586,7.40571171607135,8.28290186128414,9.22747650932301,9.74318466499091,10.1116524288546,10.4397234378145,10.7558679017495,
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,182923000000,183749000000,194936000000,249300000000,266713000000,325751000000,438500000000,593647000000,762218000000,969025000000,1217830000000,1428870000000,1202050000000,1578440000000,1899280000000,2050090000000,2210660000000,2343220000000,2280540000000,2136590000000,2280090000000,
"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,0.0260937172034175,0.0323354140702807,0.0608640784667783,0.137651583634176,0.0595992696269023,0.0734373800847887,0.0850659064994299,0.0614790880775949,0.066418268789244,0.0758188901215139,0.0646853009040671,0.0496844359528858,0.124922091427145,0.242763209371278,0.246809714734004,0.171995674531362,0.122974340106575,0.0924550610698099,0.20008065572189,0.209079982589079,0.0182448201606077,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1.26920562203769,1.62470163102928,1.40751169614643,1.42464380264741,1.64278194163764,1.52135066354363,1.69356761687571,1.65827617489855,1.74397088496992,1.94879791543046,2.1627604016981,2.54252073316677,2.7623109687617,2.77447159638631,2.93539438587254,3.10741124257959,3.1555163208725,3.4389929352771,3.54290593464706,3.19722927655751,3.11586382340171,
Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,1.45646583535149,1.4070563649326,1.5017954610744,1.52638628158845,1.55368617202761,1.67292625348809,1.64090285062714,1.8908278754883,2.09403713898124,2.4144026211914,2.88525853362128,3.09709560701813,3.48395782205399,3.64723181235904,3.75146049803083,3.44044961196825,3.40458195728877,3.6643789380852,4.13626863361309,4.58056908438212,4.7213251275169,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,1.04709303914762,1.28862578843967,1.4246342389297,1.29210750100281,1.41981418228583,1.54165942698564,1.54030581527936,1.4922417276597,1.54276165086629,1.68462361652176,1.92387845594213,2.09418169602553,2.54507383220332,2.38388238159195,2.2814538221326,2.23472557351141,2.39079160752897,2.84457524052372,2.70080834526033,2.76448434187186,2.57842036371371,
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,1.30739218140966,1.56704580705201,1.45201809824763,1.65155194544725,2.02252421141827,2.05671172152963,1.84299019384265,2.14170348405702,2.07996098229116,2.62648166971956,2.94316751927609,3.46129500934305,3.28162480762032,3.90305602100808,4.38442673971189,4.59385688979508,4.3984937423213,4.30964008087162,4.20714173415068,3.96800761961818,4.26172110662298,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,1.80661753852714,1.8212572585429,1.58200588911232,1.9043204973927,1.69838140623067,2.05804832525457,2.75772337514253,3.05189099380608,3.61467427953683,4.46730063723846,5.06710378295821,5.5971156928202,4.24074364627095,4.43831059001292,4.64327468514384,4.68985542746904,4.8045486232166,4.72819327246268,3.59750062248415,3.98300516243173,4.25614654079444,
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,4.91959950361628,4.1252034024675,4.21582673287643,4.88368094745287,5.06315740140151,5.29863300496391,5.22488278221209,5.27252108070958,5.28112049308728,5.15512716390186,5.49232618674199,5.96260107637504,6.64428975500187,6.96484215516586,7.40571171607135,8.28290186128414,9.22747650932301,9.74318466499091,10.1116524288546,10.4397234378145,10.7558679017495,
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,6.8867742164736,7.70868684999646,7.36796538351049,7.79901002807862,8.33718791360001,8.85069639080156,9.47548985176739,10.2349402559097,11.0754049366454,13.1416064601016,14.9821686934958,16.7922087383737,16.3137110769103,17.1469524013583,17.9960101308917,18.0662987453234,18.1539322512281,18.9857804672203,18.1846252701553,18.4932954848614,18.9334769620497,
Merchandise exports to high-income economies (% of total merchandise exports),TX.VAL.MRCH.HI.ZS,88.1675325627067,88.1337743334658,88.3553438051463,87.1796574408343,86.5400554153716,85.7772332241497,85.2145614595211,84.4310595753032,83.5770563014781,81.627447485875,79.4608198188581,77.1955057492984,76.9170770766607,75.6454422341046,74.3514684383029,73.4788037188611,72.4956168993423,71.178579806719,71.5036416452682,70.8579010947351,70.2924103160402,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,182792000000,183712000000,194931000000,249203000000,266098000000,325596000000,438228000000,593326000000,761953000000,968978000000,1220456000000,1430693000000,1201612000000,1577754000000,1898381000000,2048714000000,2209005000000,2342290000000,2273468000000,2097632000000,2263346000000,2487045000000
Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,2.10530277767148,2.42143630713637,2.55167336972134,2.56198916967509,2.70908242192919,2.95555316791046,2.97967685290764,2.97023769007508,3.09821166647862,3.28096354583215,3.74371726759893,4.38012058479778,4.656764943222,4.11263768461266,4.10082659513079,4.45331758781322,4.58102126903278,4.85931189316411,5.05336855104493,4.87649764344118,4.3486230083023,
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,2.11133821894564,2.05062413867635,2.01500386413,1.90479614139836,1.81080045541542,1.62419965454259,1.63880354336986,1.94886334925914,1.85599964172578,2.22007550643069,1.8823902323919,1.74248041590756,1.20422396126963,1.41229636266409,1.49660039249081,1.28452061552631,1.22313896052836,1.29366506962008,1.20572260975956,1.16335916958284,1.16018133776452,
Manufactures exports (% of merchandise exports),TX.VAL.MANF.ZS.UN,85.3583330360534,87.2949993934668,88.2804360189441,88.217985478715,88.6032261973147,89.8408932735202,90.5704715650679,91.3819073467295,91.8790640869992,92.3786995830495,93.0760487803596,92.9891200515682,93.5740604964614,93.5506535090178,93.2994447535606,93.9343356046288,94.0216698021147,93.993897379307,94.3661775487484,93.7545389216443,93.5957630955393,
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,0.349656432112725,0.659044625819797,0.477222112806218,0.236672425934573,0.363530933583121,0.255349681521696,0.856277560070821,0.602591867556658,0.890871706826856,0.749129547721774,0.908114220133982,1.1732657304051,1.61120224924824,2.62317242823305,1.93070036068762,2.59999015488398,3.4898006544672,4.1749781031697,3.37934511845447,3.49336363824825,3.54485628020329,3.56414439074855
ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,17.7103647275,20.0005170433,24.0308314435,27.6944945549,29.956987651,30.7218557799,30.7195938409,29.3407280716,27.7085255258,29.6510537775,29.124908036,26.7601820618,27.0555774747,27.4221132321,25.9389723074,26.5630711866,26.4976248353,27.0686127356,
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,3.80833842966803,2.80156521552714,2.38170461572321,3.14350961219834,3.15760421857863,2.5921423456315,2.53642335784087,2.43401555544754,2.29877660998734,1.81100029897547,1.68611176268545,2.20549741666138,1.69810779734354,1.68860853471887,1.69346857898983,1.50167631444046,1.5213628291068,1.45879618931667,1.2273321222174,1.28597570796492,1.56685762519183,
Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,7.12600804167891,6.62043494357431,6.01362087489651,5.4366962207319,5.34003525551506,4.95841913257921,4.38779764080603,3.50480583836811,3.22899148322349,2.87082381001601,2.71409734509997,2.50504440755012,2.93586792129464,2.79564737077814,2.85101678868473,2.74637737462323,2.71314921207558,2.70776831328869,2.77826875976304,3.15457305899079,3.02794608993963,
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,1.38269856357539,1.09457876789047,1.21271358308901,1.08531172132231,0.863739086098595,0.780540990944218,0.643643193018088,0.53989323568426,0.522731472712583,0.476262289801596,0.458951894397026,0.434411564133138,0.448398181573775,0.456645175840948,0.533552859434626,0.461590928228083,0.440282633473538,0.446029601601408,0.397042847028257,0.420346778315221,0.412975616707589,
Export unit value index (2000 = 100),TX.UVI.MRCH.XD.WD,108,104,101,100,97343,94.228024,96.2068125,104.9616324,107.7955965,112.3230116,118.0514852,127.495604,119.5908765,122.5806484,135.5741972,137.7433843,136.916924,137.3194598,134.0443907,121.9468844,122.9127037,129.6864228
Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,67.91726097,70.88444114,77.44729803,100,109.694188,138.6582488,182.785201,226.8347239,283.6441931,346.1719795,414.8560285,450.2958821,403.192961,516.4926068,561.8922874,596.8391727,647.4202795,684.4722854,680.5921485,690.2482661,738.9259384,769.5482696
Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,37.1532697882413,40.0418658696007,42.3334489097155,45.4913414671426,47.3570329528504,49.9512601445572,53.9594494474179,57.0062715846974,57.6720821580887,57.9368884948273,58.3443371555774,58.1389909834921,59.7671520192021,60.5223950504802,58.9631004190853,58.4439359803988,58.3199925304497,57.3405511927563,58.7219450540285,59.1277397999306,59.9562754973057,
Net barter terms of trade index (2000 = 100),TT.PRI.MRCH.XD.WD,110.2040816,110.6382979,104.1237113,100,97.44044044,92.11166635,92.93084125,90.76772409,88.44255469,89.47295338,88.54620904,83.81236263,91.09617167,82.05059399,79.04874299,79.75523623,80.64771598,82.94858096,92.53320683,92.32820219,87.29451198,84.62450619
Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,28.9994649545211,34.0938553279751,34.5053199936478,36.3301830386081,35.4622405792667,33.2467190808833,27.5668441732923,27.2805860326238,26.1063378526647,24.2412717730869,23.2215176537028,23.2555591561115,30.110142639284,39.2598577050965,29.4129441468015,36.3863828398526,39.031291182754,52.7655888975034,57.677114490738,57.0556701347339,55.0380089439261,53.1981455514089
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,35.4735152487961,25.0490758916997,25.0881372081944,28.8013796144391,28.8741012696956,29.3902535774834,33.0949273507723,33.9238213094647,34.1384346514806,34.2553664405591,33.7382282377756,32.3705749013967,32.0891213390502,45.2523347628074,32.5978374499648,30.6363771106127,28.6333927532038,22.3178478596693,19.7019570347249,18.3820033511848,19.9063959092715,20.9471195699691
Commercial service imports (current US$),TM.VAL.SERV.CD.WT,28035000000,26999000000,31485000000,36095882000,39222000000,46314344469.7188,55092530376451,72349629243.2897,83347845619.4843,100331799980075,128269164775788,155476803448512,145139374786566,139786627889066,246779284480072,280260290595055,329418758248.43,430856051643.21,433153679948.94,438364748793044,468540008742412,521343739769.87
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,30.6402710897093,33.7419904440905,33.7748134032079,27.751667073823,28.5554025801846,30.1609834003239,30.6315393144224,30.1408555430289,30.9259232696912,31.8129531631065,34.2922043024086,35.8140947587929,29.566225204003,3.22490416795949,29.6884370697458,24.9397556107951,24.5082159138541,18.5584649097645,19.9800836807509,21.1527958638566,22.2638816329767,23.237910081609
Import value index (2000 = 100),TM.VAL.MRCH.XD.WD,63.18837102,62.35112699,73.67569681,100,108.2342328,131.1726749,183.4293231,249.4085075,293.2811611,351.7229273,424.8951223,503.3094248,447.0292058,620.4880368,774.7991325,808.0938033,866.5697881,870.67735,746.3941624,705.6691731,819.375711,949.1898642
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,5.87976688730542,6.18718025430067,6.76095415102765,7.78222182746753,7.5844703921303,8.31672522339561,9.07833476561082,8.92493682524059,9.04617132332226,9.3193917050924,9.74410308965705,8.82202302282847,9.05825110320852,9.60592253674914,9.84508821772911,9.59717653042359,9.05966033078541,9.53746188017992,10.544887173172,11.2126707183572,11.5116596085431,
Merchandise imports by the reporting economy (current US$),TM.VAL.MRCH.WL.CD,142163000000,140385000000,165718000000,225175000000,243567000000,295440000000,413095000000,560811000000,660202000000,791787000000,956255000000,1131920000000,1003890000000,1393910000000,1741430000000,1817340000000,1949300000000,1963110000000,1601760000000,1589460000000,1832130000000,
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",TM.VAL.MRCH.RS.ZS,2.04761998550959,2.15571464187769,2.50279269602578,3.386188964139,3.60447228072769,5.12173266991606,6.08566649317953,6.92863609166011,8.36271535075628,9.27348403042737,8.96812765423449,8.17137757085306,8.61129097809521,9.01773742530006,7.8225020241985,8.97781793104207,9.16513896614169,8.51071101308638,9.01062109623164,8.20809268556618,7.27598617614471,
"Smoking prevalence, males (% of adults)",SH.PRV.SMOK.MA,,,,56,,,,,53.3,,,,,50.9,50.1,50.1,49.6,49.2,48.7,48.4,,
"Smoking prevalence, females (% of adults)",SH.PRV.SMOK.FE,,,,3.2,,,,,2.7,,,,,2.3,2.2,2.2,2.1,2,2,1.9,,
"Smoking prevalence, total (ages 15+)",SH.PRV.SMOK,,,,30.1,,,,,28.5,,,,,27.1,26.7,26.7,26.4,26.1,25.8,25.6,,
Prevalence of anemia among pregnant women (%),SH.PRG.ANEM,25.5,24.8,24.3,23.8,23.4,23.2,23.1,23.1,23.3,23.5,23.8,24.2,24.8,25.5,26.5,27.5,28.6,29.8,31.1,32.4,,
Lifetime risk of maternal death (%),SH.MMR.RISK.ZS,,,,0.0991362360626394,0.091242355055636,0.0838775441270954,0.0776707660286389,0.0726570204826699,0.0688685183219361,0.0657272780139138,0.0632322473511324,0.0631821137437833,0.0589480323264918,0.0568797084557192,0.0546657205871149,0.0528441981112804,0.0514510259626605,0.050272197259157,0.0491306979916147,0.0480276497709717,0.0472011591299657,
Lifetime risk of maternal death (1 in: rate varies by country),SH.MMR.RISK,,,,1000,1100,1200,1300,1400,1500,1500,1600,1600,1700,1800,1800,1900,1900,2000,2000,2100,2100,
Number of maternal deaths,SH.MMR.DTHS,,,,10000,9500,8800,8300,7800,7500,7200,6900,6900,6500,6200,6000,5700,5600,5400,5200,5000,4900,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),SH.MLR.TRET.ZS,,,,,,,,,,,,,,,,,,,,,,
Use of insecticide-treated bed nets (% of under-5 population),SH.MLR.NETS.ZS,,,,,,,,,,,,,,,,,,,,,,
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,,,,0.01,,,,,,,,,,0.01,0.01,0,0,0,0,0,0,
"Specialist surgical workforce (per 100,000 population)",SH.MED.SAOP.P5,,,,,,,,,,,,,,,,40.06,,,,,,
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,1.1892,1.1881,1.2177,1.2426,1055,1.1208,,,,,,,1.4015,1.4627,1.4733,1.5467,1.6438,1.6989,1.7855,,,
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,0.9466,0.9565,0.9707,0.9818,1083,0.9546,0.9637,0.9903,1.0155,1.0672,1.1597,1.2413,1.3643,1.4979,1.6319,1.8054,2.0015,2.1491,2.3073,,,
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,1051,1052,1043,1033,84,,668,676,698,725,702,703,0.83,0.81,831,,,,,,,
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,2.5499999523,2.5299999714,2.5199999809,2.5199999809,2.5199999809,2.4500000477,2.2,3,2.45,2.23,,,4.2,3.56,3.8,4.2,,,,,,
"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,83,83,84,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,99,99,99,99
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,84,84,85,85,86,86,86,87,87,93,93,97,99,99,99,99,99,99,99,99,99,99
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,,,,60,65,70,75,79,84,91,92,95,99,99,99,99,99,99,99,99,99,99
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,
"Incidence of HIV (per 1,000 uninfected population ages 15-49)",SH.HIV.INCD.ZS,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,,,,,,,,,,,,,,,,,,,,,,
Children (ages 0-14) newly infected with HIV,SH.HIV.INCD.14,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,
Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
Children (0-14) living with HIV,SH.HIV.0014,,,,,,,,,,,,,,,,,,,,,,
People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,,,,,,,,,,,,,,
