Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Italy,ITA,"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.5,1.6,1.4,1.3,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,,,
Italy,ITA,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,2.5,2.5,2.3,2.1,1.9,1.6,1.8,,1.7,1.6,1.7,1.6,1.4,1.3,1.3,1.3,1.1,1.1,1.2,0.9,,,
Italy,ITA,"Intentional homicides, female (per 100,000 female)",VC.IHR.PSRC.FE.P5,0.7,0.7,0.6,0.6,0.6,0.6,0.7,,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.4,0.5,,,
Italy,ITA,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,75000,,,17000,3700,1600,1300,31000,2100,3300,
Italy,ITA,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Battle-related deaths (number of people),VC.BTL.DETH,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,48.3979623778607,47.4280805040438,47.3718018663717,46.8790891624038,43.2963827250373,43.2639382604141,42.723298606496,41.024790941822,38.8879427326763,37.8628559708463,37.0609383614932,40.2852392469308,42.059567729278,38.6364900097544,39.5359996573273,38.3306743951393,39.4988054307242,40.2813411055471,40.6181562887886,40.532984909057,40.2022830203957,40.4832528667632,
Italy,ITA,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,17.6721875211699,17.2002673183517,16.1690397429798,16.1041923760182,14.1496432522561,15.2469758605077,14.7148928521449,17.5718707123717,16.5113364677609,16.3099896029146,15.9488447378449,15.9070780293916,13.8146606741438,14.9793498239627,14.1193066326358,13.3462495229578,14.0280549018454,13.8842369259888,14.6033962571551,13.981162749263,13.1293216792308,12.8685653668106,
Italy,ITA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,7.18920077737414,7.30240530978371,8.4005084204408,8.14785567372224,8.06561680830861,7.66868238812049,7.90749436436325,7.82338961552657,8.28800201868731,8.37408776453497,7.90780894360569,7.72205515939613,
Italy,ITA,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,30352903213,32850608496,28148836006,29719447144,34153221516,29851307796,32431629494,33222989923,30511569124,31317931725,32232276659,33820879378,
Italy,ITA,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,61394246348.2561,62860814885.7109,59844331633.3334,58657141120.5708,59657025276.7042,62159998676.0315,73207681322.7612,86285381660.6784,90798640775.4666,101091145260383,115081521972345,114723333626017,96070201290.3717,99469558177.3444,109446001455547,106815659713263,110952901201578,113109081466881,97081318113.8747,99624212504.1436,110890187950.12,120720829653032,
Italy,ITA,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,24.5575379479084,29.7098733054087,32.8169884478583,32.5115699717159,36.1341770688596,34.4858172547185,37.0929699136469,35.7003857265029,38.5162680833734,39.1255388035518,39.9664973002224,38.3055714212483,37.3468887657989,39.9965256377302,39.4767188584895,41.456089172286,39.637173549913,39.0750454946984,38.345196054197,38.7330928671214,39.7273880833275,39.9829303206434,
Italy,ITA,Export value index (2000 = 100),TX.VAL.MRCH.XD.WD,99.95689381,102.1965579,97.94028695,100,101.6513643,105.7828689,124.4537268,147.0917992,155.1382847,173.3240581,207.8358664,225.658257,169.1804957,185.9742717,217.5549026,208.4279227,215.4153509,220.2735719,190.0023723,191.9761727,210.9692756,227.2776013,
Italy,ITA,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,238249000000,242678000000,235082000000,239904000000,244250000000,254484000000,299876000000,353554000000,372729000000,417223000000,500242000000,544635000000,406826000000,446895000000,523404000000,501546000000,518112000000,529797000000,456989000000,461737000000,507418000000,,
Italy,ITA,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",TX.VAL.MRCH.RS.ZS,3.54486797858287,3.55474546031424,0.786804221505687,0.900069518640788,0.906356996519959,0.862269672356612,0.858278473102216,0.903149212567246,0.792051389615513,0.654993145871632,0.665477132068079,1.0185953210866,0.882203377856873,0.818196609718166,1.11308319500806,1.08560048190993,1.06225135762152,1.08161768752937,1.04771712054338,1.0496328325432,1.09815414530032,,
Italy,ITA,Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,1.38927677900692,1.68544459346846,1.07559136811836,1.14337552729425,1.18514675783009,1.21711538839377,1.15847793387934,1.13948468183078,1.29751688116567,1.30589029415924,1.25855726788235,1.27881502529217,1.54282000560436,1.30016636681995,1.37697604737449,1.38075735505816,1.44484741870484,1.53777250814935,1.36966791760852,1.15703533764892,1.13914256786318,,
Italy,ITA,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,0.679300224141591,0.619798905098691,0.533042129980177,0.563965492030145,0.58637347062436,0.587281100972949,0.624900664608038,0.686664449277904,0.813662678782708,0.921281166186907,1.06941175611004,1.08000306021464,1.27070372223014,1.30853410532675,1.28105758438988,1.13951791560495,1.01101793608332,1.01028107690304,1.08958779467339,1.12362474265653,1.20149330197194,,
Italy,ITA,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,3.25568328881422,3.39338297331938,3.28368339558112,3.33105882603041,3.64519207942682,3.86463358167901,3.87164133775294,3.95274868534934,3.99157849644111,3.65268493467522,3.89096658077491,4.84123370606002,5.53883313259231,5.52490170554605,4.26349928850372,4.5709957304016,4.95803431246526,4.54051588759468,4.19164023225942,3.99393768595542,3.7816167946348,,
Italy,ITA,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,2.77958810411935,2.80263962302949,2.45392807616066,2.40880012755102,2.50244687778915,2.20960905479323,1.85147969093892,1.80840683092257,1.97691893761956,2.12121045340262,2.30035925172217,2.35843602890009,2.21974388165948,2.5815469598004,2.88542770995254,3.11805783238227,2.94528131929004,2.69139348108804,2.56393403539254,2.32940655914514,2.45175653287822,,
Italy,ITA,Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,4.97000441595264,4.80561036975581,3.92832071362333,4.74212633803521,5.13275648311157,5.55600105311139,6.08349301144473,6.75201771638844,7.42684675192969,8.16418759080875,8.50910438607714,9.15603892662058,8.12584406822573,8.54862310341355,9.09342497898373,9.19359148054216,9.47423112164937,8.78798700747645,8.05120306637578,7.7770400745446,7.88212876307108,,
Italy,ITA,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,2.55622155877067,1.49249660843808,1.54663517410946,1.85930117088502,2.25739510460594,2.50034778217884,2.41871847030106,2.5370445869655,2.38172728765403,2.53360182468368,2.57446633509381,2.62460253784645,3.27523775619061,3.54966708488571,3.72110600912488,3.58880413860344,3.80550902468964,3.89943809572346,3.77238138138992,4.04549575580904,4.32856124418133,,
