Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
United States,USA,Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Informal employment (% of total non-agricultural employment),SL.ISV.IFRM.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Informal employment, male (% of total non-agricultural employment)",SL.ISV.IFRM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Informal employment, female (% of total non-agricultural employment)",SL.ISV.IFRM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,24.6650009155273,24.5179996490479,24.3719997406006,24.4230003356934,23.7350006103516,22.7430000305176,22.4549999237061,22.3770008087158,22.2849998474121,22.3560009002686,22.132999420166,21.4650001525879,20.0389995574951,19.6620006561279,19.7360000610352,19.7290000915527,19.9699993133545,19.992000579834,19.8729991912842,19.7740001678467,19.7290000915527,19.4370002746582,
United States,USA,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,34.1599998474121,34.0579986572266,33.9869995117188,34.2070007324219,33.7060012817383,32.6669998168945,32.3950004577637,32.4480018615723,32.4469985961914,32.734001159668,32.3720016479492,31.6270008087158,30.0230007171631,29.4720001220703,29.2399997711182,29.0799999237061,29.4769992828369,29.4799995422363,29.2369995117188,29.1620006561279,29125,28.7749996185303,
United States,USA,"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS,13.2650003433228,13.0609998703003,12.8500003814697,12.7069997787476,11.8649997711182,10.9770002365112,10.7760000228882,10.4630002975464,10.2449998855591,10.0550003051758,10.048999786377,9.60099983215332,8.67700004577637,8.46000003814697,8.73099994659424,8.77700042724609,8.82900047302246,8.85499954223633,8.83500003814697,8.70400047302246,8.70699977874756,8.49499988555908,
United States,USA,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,85225.71875,87402.0703125,89924.2578125,92140.9375,93123.6328125,95311.8125,97782.015625,100333.515625,101981.953125,102986.40625,103962.828125,103766.234375,104657.1328125,107882.7421875,108666.6875,109142.1171875,109752.6640625,110642.15625,112080.328125,111941.3046875,112677.3125,114989.9921875,
United States,USA,"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,0.131999999284744,0.10700000077486,0.101000003516674,0.103000000119209,0.0979999974370003,0.0879999995231628,0.0920000001788139,0.0829999968409538,0.0860000029206276,0.0729999989271164,0.0900000035762787,0.0839999988675117,0.0649999976158142,0.0839999988675117,0.0759999975562096,0.0769999995827675,0.0700000002980232,0.0590000003576279,0.0670000016689301,0.0579999983310699,0.0500000007450581,0.0489999987185001,
United States,USA,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,0.0869999974966049,0.0740000009536743,0.063000001013279,0.0729999989271164,0.0640000030398369,0.0599999986588955,0.0549999997019768,0.0560000017285347,0.061999998986721,0.0439999997615814,0.0520000010728836,0.0579999983310699,0.0489999987185001,0.068000003695488,0.0540000014007092,0.068000003695488,0.0590000003576279,0.0439999997615814,0.0489999987185001,0.0439999997615814,0.0359999984502792,0.034000001847744,
United States,USA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,0.187999993562698,0.146999999880791,0.145999997854233,0.138999998569489,0.138999998569489,0.122000001370907,0.13400000333786,0.11599999666214,0.11599999666214,0.10700000077486,0.13400000333786,0.112999998033047,0.0829999968409538,0.101999998092651,0.101999998092651,0.0890000015497208,0.0829999968409538,0.0769999995827675,0.0890000015497208,0.0750000029802322,0.068000003695488,0.0649999976158142,
United States,USA,"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,
United States,USA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,91.7249984741211,92.0550003051758,92.3430023193359,92.4349975585938,92.5189971923828,92.6389999389648,92.4329986572266,92.4260025024414,92.5299987792969,92.5979995727539,92.7799987792969,92.9820022583008,92.9069976806641,92.9550018310547,93.1800003051758,93.2470016479492,93.4049987792969,93.5540008544922,93.5559997558594,93.6129989624023,93.7480010986328,93.7939987182617,
United States,USA,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,90.4619979858398,90.7750015258789,91.1070022583008,91.3580017089844,91.4449996948242,91.5179977416992,91.197998046875,91.1579971313477,91.2259979248047,91.3690032958984,91.5999984741211,91.7330017089844,91.6320037841797,91.6740036010742,92.0380020141602,92.2529983520508,92.5309982299805,92.6330032348633,92.5500030517578,92.5719985961914,92.9160003662109,92.9550018310547,
United States,USA,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,93.2409973144531,93.5930023193359,93.8239974975586,93.7259979248047,93.7979965209961,93.9690017700195,93.8860015869141,93.9250030517578,94.0749969482422,94.0540008544922,94.1729965209961,94.4410018920898,94.3580017089844,94.4179992675781,94.5019989013672,94.411003112793,94.4300003051758,94.6360015869141,94.7409973144531,94.8410034179688,94.7229995727539,94.7779998779297,
United States,USA,"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,4.90700009465217,4.71200001984835,4.5470001026988,4.49899990856648,4.45300001651049,4.38599985837936,4.51200007647276,4.51700001209974,4.46000007539988,4.41699986159802,4.31700024008751,4.19300020486116,4.22599977254867,4.20800007134676,4.06999995559454,4.03400001674891,3.9380000308156,3.84800003468991,3.86200007796288,3.82899990677834,3.75199990347028,3.73399994149804,
United States,USA,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,5.35099993646145,5.18799984455108,5.00900010019541,4.87599997222424,4.83200012892485,4.80399995669723,4.98900001496077,5.02399993687868,4.99799986928701,4.91100010275841,4.78800006210804,4.71799984574318,4.76400015130639,4.75600020587445,4.54399977251887,4.4299999922514,4.26800011098385,4.21300014853477,4.28300020471215,4.27699980139732,4.08000014722347,4.07100018113851,
