Country Name,Country Code,Indicator Name,Indicator Code,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
World,WLD,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,5.77123422949895,5.88824680467116,6.03409881804935,5.84650327587374,5.88981272534793,6.16821752095504,6.31888455847196,6.23196407595316,6.14507956400696,5.7746690671602,5.43934784123951,5.34677947298737,5.95496566412803,5.89589477235197,5.78600698627681,5.77874115901487,5.76450532585944,5.59299088225137,5.66325434676858,5.67874508058891,5.52058337570106,5.42199269049939
World,WLD,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,11.5886309066046,11.9468143743119,12.2906604206827,12.2095392715466,12.4211661288925,12.898290691702,13.0604257832422,12.8039770670281,12.7644437139586,12.0641117353491,11.3766005944108,11.3535058161937,12.4291583130707,12.3166848479192,12.3561631443724,12.616798142499,12.7877367655668,12.6363782479389,12.9850223796384,13.1875586121483,12.8751877347431,12.7476077676923
World,WLD,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,11.2291176637862,11.6497901147528,11.9551487658281,11.8846869946402,12.0960612959603,12.570680779356,12.6955249525629,12.2630831368846,12.1651629983154,11.4720486422363,10.8734948941107,10.924296118726,12.074055504397,11.9063001736921,11.8974221295923,12.1630473171944,12.3198045455299,12.1691144021921,12.4636026090752,12.6484263637186,12.3137016894903,12.1833336226287
World,WLD,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,12.3254363641605,12.6069609377651,12.9999876862098,12.9406122409414,13.2138719045999,13.6957106289138,13.9699907039237,14.1000153166939,14.276395434857,13.586011379151,12.8122247464346,12.7435837712549,13.7475009681215,13.8011511850853,13.9320643582402,14.2134770457464,14.4071283430381,14.2921101359902,14.7600441768667,14.9848099331845,14.7018426063945,14.5879176552233
World,WLD,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Labor force, total",SL.TLF.TOTL.IN,2623897049,2665246366,2713713055,2758018805,2795534039,2838408975,2882724852,2931567162,2978319541,3014265296,3052847895,3087429224,3119460738,3147886069,3179048834,3216288580,3256813816,3295576159,3337609384,3377763325,3421661959,3456043460
World,WLD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.3404784457304,39.3644727780753,39.4353506011777,39.4791373717098,39.4652012687133,39.4633531133535,39.4877666113492,39.4701271737909,39.4958978241455,39.4132165875292,39.3691117061042,39.2563780759238,39.2143521060035,39.094308346714,38.9894556690637,38.9181246171268,38.9340994305503,38.9465329907431,38.9774826876708,39.0328084751269,39.0890840774607,39.0279234975165
World,WLD,"Part time employment, total (% of total employment)",SL.TLF.PART.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS,,,,,,,,,,,,,,,,,,,,,,
World,WLD,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,64.9215604108816,64.7855289548008,64.7807410825438,64.6107917323809,64.3431127644368,64.1306480530136,63.9129178212658,63.810266299345,63.7056405596991,63.4157156480098,63.2204440693941,62.966573875279,62.6798801964004,62.3325748318365,62.0872818269102,61.939931181519,61.8468226303618,61.717944645317,61.6530749874307,61.5576373938015,61.5371592144921,61.3581866302779
World,WLD,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,,,,64.3172301677912,65.0027451208649,,,64.782596272691,64.2078259337497,,,,64.261477458486,61.7744056876639,64.3801977310332,62.0037025842018,64.0524314111637,,64.25038194688,,,
World,WLD,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,79.0270089086924,78.835809774623,78.7407451981267,78.476224567323,78.1555264413084,77.8844086585027,77.572063072503,77.4521276147081,77.2732473341388,77.0119307367214,76.8144327339747,76.632100604502,76.3226793501093,76.0387890150281,75.8621077161463,75.7668339656419,75.6299808659122,75.4520842672554,75.3283529823683,75.1324518342341,75.0253769848552,74.870418783583
World,WLD,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,,,,77.975729202368,,,,,,,,,,75.815414259449,,,,,,,,
World,WLD,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS,67.3120861708393,67.3512610465288,67.5125792095617,67.6315314243243,67.5882441206064,67.5765690190435,67.627438965954,67.5621103577455,67.6095278069444,67.4491942019783,67.3799735158338,67.1625696507464,67.1162458037567,66.8610567413989,66.6902108404885,66.5987536732218,66.6253670995094,66.653429008261,66.7030600337703,66.8385794589239,66.9967587712854,66.8672041152841
World,WLD,Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,,,,67.7370580514406,,,,,,,,,,65.6447544896617,,,,,,,,
World,WLD,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,50.9183637452233,50.8390286620342,50.9249124541313,50.8486157551516,50.6280992549911,50.4678347310912,50.3381192207529,50.2463981710443,50.2090757192111,49.8867387195467,49.688990607731,49.3591060300304,49.0916057688652,48.6779262516954,48.3630172869556,48.1641900615394,48.1145132251732,48.0330717878858,48.0255544693343,48.0270606444033,48.089157200851,47.8834197539638
